id,course_id,course_name,source_id,label,entity_type,parent_id,depth,path,layout,image_ids
C12:FI:2420,C12,数据库,2420,获得封锁(扩展阶段),floating_item,C12:FI:2418,2,事务 > 分为 > 获得封锁(扩展阶段),"{""x"":2384.98,""y"":8984.01,""width"":147.6,""height"":20.7}",[]
C12:FI:2422,C12,数据库,2422,释放封锁(收缩阶段),floating_item,C12:FI:2418,2,事务 > 分为 > 释放封锁(收缩阶段),"{""x"":2384.98,""y"":9011.21,""width"":147.6,""height"":20.7}",[]
C12:FI:2427,C12,数据库,2427,模式信息,floating_item,C12:F:2426,1,数据字典 > 模式信息,"{""x"":1449.69,""y"":6562.4,""width"":75.6,""height"":20.7}",[]
C12:FI:2429,C12,数据库,2429,完整性,floating_item,C12:F:2426,1,数据字典 > 完整性,"{""x"":1456.89,""y"":6589.6,""width"":61.2,""height"":20.7}",[]
C12:FI:2431,C12,数据库,2431,完整性约束定义,floating_item,C12:FI:2429,2,数据字典 > 完整性 > 完整性约束定义,"{""x"":1323.69,""y"":6589.6,""width"":118.8,""height"":20.7}",[]
C12:FI:2433,C12,数据库,2433,安全性,floating_item,C12:F:2426,1,数据字典 > 安全性,"{""x"":1456.89,""y"":6616.8,""width"":61.2,""height"":20.7}",[]
C12:FI:2435,C12,数据库,2435,用户权限,floating_item,C12:FI:2433,2,数据字典 > 安全性 > 用户权限,"{""x"":1345.29,""y"":6616.8,""width"":75.6,""height"":20.7}",[]
C12:FI:2437,C12,数据库,2437,视图,floating_item,C12:F:2426,1,数据字典 > 视图,"{""x"":1464.09,""y"":6695.1,""width"":46.8,""height"":20.7}",[]
C12:FI:3670,C12,数据库,3670,树,floating_item,C12:F:3669,1,数据结构 > 树,"{""x"":5084.44,""y"":6288.36,""width"":32.4,""height"":20.7}",[]
C12:FI:3728,C12,数据库,3728,进程管理,floating_item,C12:F:3727,1,操作系统 > 进程管理,"{""x"":2952.61,""y"":8388.62,""width"":75.6,""height"":20.7}",[]
C12:FI:3601,C12,数据库,3601,图,floating_item,C12:F:3600,1,数据结构 > 图,"{""x"":5141.79,""y"":1477.3,""width"":32.4,""height"":20.7}",[]
C12:FI:3603,C12,数据库,3603,树,floating_item,C12:F:3600,1,数据结构 > 树,"{""x"":5141.79,""y"":1450.1,""width"":32.4,""height"":20.7}",[]
C12:FI:3753,C12,数据库,3753,数据流图,floating_item,C12:F:3750,1,软件工程 > 数据流图,"{""x"":3548.67,""y"":4526.34,""width"":75.6,""height"":20.7}",[]
C12:FI:3756,C12,数据库,3756,设计流程,floating_item,C12:F:3750,1,软件工程 > 设计流程,"{""x"":3548.67,""y"":4553.54,""width"":75.6,""height"":20.7}",[]
C12:FI:3909,C12,数据库,3909,身份认证,floating_item,C12:F:3908,1,网络安全 > 身份认证,"{""x"":5142.99,""y"":2403.32,""width"":75.6,""height"":20.7}",[]
C12:FI:3910,C12,数据库,3910,安全审计,floating_item,C12:FI:3909,2,网络安全 > 身份认证 > 安全审计,"{""x"":5261.79,""y"":2376.12,""width"":75.6,""height"":20.7}",[]
C12:FI:3911,C12,数据库,3911,常用网络身份认证方式,floating_item,C12:FI:3909,2,网络安全 > 身份认证 > 常用网络身份认证方式,"{""x"":5304.99,""y"":2403.32,""width"":162.0,""height"":20.7}",[]
C12:FI:3912,C12,数据库,3912,访问控制技术,floating_item,C12:FI:3909,2,网络安全 > 身份认证 > 访问控制技术,"{""x"":5276.19,""y"":2430.52,""width"":104.4,""height"":20.7}",[]
C12:FI:3919,C12,数据库,3919,身份认证,floating_item,C12:F:3918,1,网络安全 > 身份认证,"{""x"":3464.36,""y"":8872.18,""width"":75.6,""height"":20.7}",[]
C12:FI:3920,C12,数据库,3920,安全审计,floating_item,C12:FI:3919,2,网络安全 > 身份认证 > 安全审计,"{""x"":3583.16,""y"":8844.98,""width"":75.6,""height"":20.7}",[]
C12:FI:3921,C12,数据库,3921,常用网络身份认证方式,floating_item,C12:FI:3919,2,网络安全 > 身份认证 > 常用网络身份认证方式,"{""x"":3626.36,""y"":8872.18,""width"":162.0,""height"":20.7}",[]
C12:FI:3922,C12,数据库,3922,访问控制技术,floating_item,C12:FI:3919,2,网络安全 > 身份认证 > 访问控制技术,"{""x"":3597.56,""y"":8899.38,""width"":104.4,""height"":20.7}",[]
C12:FI:3925,C12,数据库,3925,哈希,floating_item,C12:F:3669,1,数据结构 > 哈希,"{""x"":5091.64,""y"":6315.56,""width"":46.8,""height"":20.7}",[]
C12:FI:3927,C12,数据库,3927,散列函数,floating_item,C12:FI:3925,2,数据结构 > 哈希 > 散列函数,"{""x"":5196.04,""y"":6315.56,""width"":75.6,""height"":20.7}",[]
C12:FI:3931,C12,数据库,3931,B+树,floating_item,C12:FI:3670,2,数据结构 > 树 > B+树,"{""x"":5167.24,""y"":6288.36,""width"":46.8,""height"":20.7}",[]
C12:FI:3941,C12,数据库,3941,命题逻辑,floating_item,C12:F:3940,1,离散数学 > 命题逻辑,"{""x"":5119.57,""y"":4496.83,""width"":75.6,""height"":20.7}",[]
C12:FI:3942,C12,数据库,3942,范式,floating_item,C12:FI:3941,2,离散数学 > 命题逻辑 > 范式,"{""x"":5223.97,""y"":4496.83,""width"":46.8,""height"":20.7}",[]
C12:FI:3943,C12,数据库,3943,集合代数,floating_item,C12:F:3940,1,离散数学 > 集合代数,"{""x"":5119.57,""y"":4524.03,""width"":75.6,""height"":20.7}",[]
C12:FI:3944,C12,数据库,3944,集合基本运算,floating_item,C12:FI:3943,2,离散数学 > 集合代数 > 集合基本运算,"{""x"":5252.77,""y"":4524.03,""width"":104.4,""height"":20.7}",[]
C12:FI:3945,C12,数据库,3945,二院关系,floating_item,C12:F:3940,1,离散数学 > 二院关系,"{""x"":5119.57,""y"":4551.23,""width"":75.6,""height"":20.7}",[]
C12:FI:3946,C12,数据库,3946,有序对,floating_item,C12:FI:3945,2,离散数学 > 二院关系 > 有序对,"{""x"":5231.17,""y"":4551.23,""width"":61.2,""height"":20.7}",[]
C12:FI:3947,C12,数据库,3947,笛卡尔积,floating_item,C12:FI:3946,3,离散数学 > 二院关系 > 有序对 > 笛卡尔积,"{""x"":5342.77,""y"":4551.23,""width"":75.6,""height"":20.7}",[]
C12:FI:3952,C12,数据库,3952,分布式数据库的模式结构,floating_item,C12:FI:3953,2,分布式数据库 > 分布式数据库基本概念 > 分布式数据库的模式结构,"{""x"":5457.79,""y"":3238.54,""width"":176.4,""height"":20.7}",[]
C12:FI:3953,C12,数据库,3953,分布式数据库基本概念,floating_item,C12:F:3951,1,分布式数据库 > 分布式数据库基本概念,"{""x"":5245.39,""y"":3238.54,""width"":162.0,""height"":20.7}",[]
C12:FI:3960,C12,数据库,3960,二元关系,floating_item,C12:F:3959,1,离散数学 > 二元关系,"{""x"":1416.98,""y"":1927.86,""width"":75.6,""height"":20.7}",[]
C12:FI:3968,C12,数据库,3968,分布式数据库的设计,floating_item,C12:F:3964,1,分布式数据库 > 分布式数据库的设计,"{""x"":3509.37,""y"":3832.51,""width"":147.6,""height"":20.7}",[]
C12:FI:3969,C12,数据库,3969,设计步骤,floating_item,C12:FI:3968,2,分布式数据库 > 分布式数据库的设计 > 设计步骤,"{""x"":3664.17,""y"":3832.51,""width"":75.6,""height"":20.7}",[]
